epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2825.31,0.51791,0.3109,0.82898,0.70101,0.76239,0.74481,0.54132,0.52601,0.37351,0.81701,0.000122025,0.000122025,0.000122025
92,2854.29,0.50894,0.30729,0.82672,0.6755,0.74692,0.73899,0.537,0.52349,0.37333,0.81655,0.000117868,0.000117868,0.000117868
93,2882.99,0.50081,0.30625,0.8213,0.76384,0.68753,0.73389,0.53363,0.52245,0.37079,0.81647,0.000114138,0.000114138,0.000114138
94,2913.64,0.51376,0.30559,0.82609,0.73177,0.72447,0.73676,0.53383,0.51818,0.36892,0.81612,0.000110837,0.000110837,0.000110837
95,2941.89,0.50597,0.30213,0.82683,0.71767,0.73993,0.7337,0.53697,0.51729,0.37209,0.81642,0.000107971,0.000107971,0.000107971
96,2973.11,0.50795,0.30148,0.8169,0.77309,0.66243,0.71519,0.52019,0.52757,0.38021,0.81919,0.00010554,0.00010554,0.00010554
97,3002.18,0.49146,0.28377,0.81052,0.76283,0.68368,0.71676,0.52918,0.53524,0.38316,0.82256,0.000103548,0.000103548,0.000103548
98,3030.54,0.488,0.28509,0.80777,0.80823,0.64041,0.71277,0.5303,0.53787,0.38408,0.824,0.000101997,0.000101997,0.000101997
99,3060.33,0.48476,0.28764,0.81121,0.74462,0.66407,0.70639,0.52193,0.53124,0.37775,0.82268,0.000100888,0.000100888,0.000100888
100,3087.98,0.47922,0.28027,0.80723,0.74931,0.71324,0.72518,0.53568,0.52791,0.38192,0.8225,0.000100222,0.000100222,0.000100222
